stakes,offer,accept,wealth
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,200,1,0
2000,300,1,0
2000,300,1,0
2000,300,1,0
2000,400,1,0
2000,500,1,0
2000,500,1,0
2000,100,0,1
2000,100,0,1
2000,100,0,1
2000,100,0,1
2000,100,1,1
2000,100,1,1
2000,100,1,1
2000,100,1,1
2000,100,1,1
2000,100,1,1
2000,200,0,1
2000,200,0,1
2000,200,1,1
2000,200,1,1
2000,200,1,1
2000,200,1,1
2000,200,1,1
2000,200,1,1
2000,300,0,1
2000,300,0,1
2000,300,1,1
2000,300,1,1
2000,300,1,1
2000,400,1,1
2000,400,1,1
2000,500,0,1
2000,500,0,1
2000,500,1,1
2000,700,0,1
2000,1000,1,1
20000,1000,1,0
20000,1000,1,0
20000,1000,1,0
20000,1000,1,0
20000,1000,1,0
20000,1000,1,0
20000,2000,1,0
20000,2000,1,0
20000,3000,1,0
20000,3000,1,0
20000,5000,1,0
20000,10000,1,0
20000,1000,1,1
20000,1000,1,1
20000,1000,1,1
20000,1000,1,1
20000,1000,1,1
20000,1000,1,1
20000,2000,0,1
20000,2000,1,1
20000,2000,1,1
20000,4000,1,1
20000,5000,1,1
20000,6000,1,1
